id del estudiante,Puntaje en matemáticas 2013,Puntaje en matemáticas 2012,Edad,Género,Educación de la madre,Hogar pobre
373,"543,3","540,5165",6,1,0,0
374,"526,2","520,5213",6,0,0,0
375,"706,7","706,1619",11,0,0,1
376,"554,6","550,8793",6,0,0,0
377,"602,1","588,7413",8,1,0,0
378,"720,3","708,9597",11,0,0,1
379,562,"543,7337",6,0,0,1
380,"498,3","469,988",6,0,0,0
381,"620,3","612,6614",8,0,1,0
382,"624,7","613,0818",8,0,1,1
383,"581,7","571,5162",7,0,0,0
384,"522,5","518,6742",6,0,0,0
385,"564,6","551,1756",6,1,0,0
386,"526,5","500,8842",6,0,0,0
387,"568,9","554,2885",7,0,0,0
388,688,"670,3488",10,1,0,0
389,"623,2","607,1291",8,0,0,0
390,"613,3","596,6564",8,0,0,1
391,"649,1","640,0789",9,0,1,0
392,"683,4","661,8915",10,1,0,1
393,"619,5","615,3969",8,0,0,0
394,"584,4","562,175",7,1,0,0
395,"590,9","576,5616",7,0,0,0
396,"427,8","415,1309",6,0,0,1
397,"517,7","491,9552",6,1,0,0
398,"569,1","558,0743",7,1,0,0
399,"508,3","481,0226",6,0,1,0
400,723,"719,1218",11,0,0,0
401,"772,5","760,6874",12,0,0,0
402,"444,7","425,7403",6,0,0,0
403,"636,4","636,1444",9,0,0,1
404,590,"569,3718",7,1,0,0
405,"621,2","607,5455",8,1,1,0
406,"582,6","581,5023",7,0,1,1
407,"567,7","556,5219",6,0,0,1
408,"504,3","493,5983",6,0,0,0
409,"654,7","636,9476",9,0,0,0
410,"694,9","691,517",11,1,0,1
411,"601,5","580,4858",8,0,0,0
412,"644,6","643,7814",9,0,0,0
413,"678,6","668,2712",10,0,0,0
414,"539,1","520,9796",6,1,1,0
415,592,"575,1661",7,0,1,1
416,"694,8","693,3355",11,1,0,0
417,"470,2","459,7972",6,1,0,1
418,"696,7","693,6913",11,0,0,0
419,"528,3","509,1294",6,0,0,0
420,614,"591,7867",8,1,0,0
421,"451,7","432,2964",6,1,0,0
422,"558,4","543,7867",6,0,0,0
423,"677,4","659,1807",10,1,0,0
424,"757,6","736,9951",12,1,1,0
425,"531,6","504,589",6,1,1,0
426,625,"605,5963",8,1,1,1
427,"532,8","507,7148",6,0,0,1
428,"624,2","623,3729",8,0,1,1
429,620,"619,9758",8,0,1,0
430,"371,2","353,2585",6,0,0,0
431,"622,7","603,2246",8,0,1,1
432,"528,4","512,9794",6,1,1,0
433,688,"669,126",10,0,0,1
434,"561,3","540,564",6,0,0,0
435,"519,4","491,6101",6,0,0,0
436,"763,8","743,8038",12,0,0,0
437,"580,3","559,1601",7,0,0,1
438,"587,8","567,3631",7,1,1,0
439,"564,4","543,0308",6,0,1,1
440,"519,3","501,5768",6,1,0,0
441,"633,5","618,199",9,0,0,0
442,"784,4","786,8972",12,1,1,0
443,"639,4","619,42",9,0,0,0
444,"434,4","419,1638",6,0,1,1
445,"611,7","606,5811",8,0,0,0
446,"572,4","548,4674",7,0,0,1
447,"646,1","631,1621",9,0,0,0
448,"451,4","432,9758",6,0,0,0
449,"609,5","592,8922",8,0,0,0
450,"595,5","575,1655",7,0,0,0
451,"849,2","834,0582",12,0,0,0
452,"594,1","591,0855",7,0,0,0
453,"697,5","683,5732",11,0,1,0
454,"474,3","457,4451",6,0,0,1
455,"609,5","590,3802",8,1,0,0
456,"757,4","736,644",12,0,0,1
457,"716,1","705,3608",11,0,0,0
458,"639,4","639,0719",9,1,1,1
459,"549,4","546,4454",6,0,1,0
460,"597,9","576,4002",7,0,0,0
461,"718,3","704,0544",11,0,0,0
462,"590,2","567,9073",7,1,0,0
463,"490,6","474,2464",6,0,0,1
464,"632,3","627,2526",9,1,0,0
465,609,"604,6498",8,0,0,0
466,"651,8","629,2351",9,0,1,0
467,"393,1","368,7139",6,0,0,1
468,"502,9","493,898",6,0,0,0
469,"484,1","467,0451",6,0,0,0
470,579,"578,3774",7,1,0,1
471,"550,4","526,399",6,0,0,1
472,"674,6","657,4928",10,0,0,1
473,"506,4","496,035",6,0,0,1
474,"793,7","782,0212",12,1,0,1
475,"767,7","750,9954",12,0,0,0
476,"697,6","684,1537",11,0,0,0
477,"620,2","610,6985",8,0,0,1
478,"559,9","545,6412",6,1,0,0
479,"512,4","503,1045",6,1,1,1
480,"696,9","693,6523",11,1,0,1
481,"587,4","587,0284",7,0,0,1
482,"612,4","607,795",8,0,1,1
483,"429,2","400,1635",6,1,0,0
484,"457,4","434,2635",6,0,0,0
485,820,"815,3065",12,0,1,1
486,"620,7","600,9054",8,1,0,0
487,"655,8","647,4031",9,1,0,1
488,"518,8","507,8172",6,0,0,0
489,"528,3","505,9142",6,1,0,0
490,"681,3","658,7769",10,1,0,0
491,"465,5","458,1566",6,0,0,0
492,"546,8","519,796",6,0,1,1
493,"662,3","646,5856",9,0,0,0
494,"621,2","616,1133",8,0,0,1
495,"551,6","550,2753",6,1,0,0
496,"795,1","794,3962",12,0,1,1
497,"667,7","654,3568",10,1,1,0
498,"473,4","469,6059",6,0,0,0
499,"677,2","662,5423",10,1,0,0
500,"634,4","618,8861",9,0,0,1
