id del estudiante,Puntaje en matemáticas,Edad,Género,Educación de la madre,Hogar pobre
104,"546,6385",6,1,1,0
105,"645,1182",9,0,1,0
106,"699,6284",11,0,0,0
107,"694,2236",10,0,0,0
108,"526,37",5,1,0,1
109,"412,2507",5,0,0,0
110,"513,9815",5,1,0,0
111,"659,2415",10,0,0,0
112,"455,6929",5,0,0,0
113,"423,8338",5,0,1,0
114,"558,0083",7,0,1,0
115,"670,1683",11,0,0,1
116,"596,5383",8,0,0,0
117,"470,6984",5,1,0,0
118,"675,2149",10,0,0,0
119,"771,5753",10,0,0,0
120,"393,0383",5,1,0,0
121,"534,8312",6,1,0,0
122,"493,6887",5,1,0,0
123,"532,0819",6,1,0,1
124,"513,6545",5,0,0,0
125,"706,0245",11,0,1,0
126,"531,236",6,1,0,0
127,"605,3361",8,1,0,0
128,"717,2244",11,0,0,0
129,"553,9476",6,1,0,0
130,"463,343",5,0,1,0
131,"617,3692",8,0,1,0
132,"608,1013",8,1,0,1
133,"574,3784",7,1,0,1
134,"531,5137",5,0,0,0
135,"526,3851",6,0,0,1
136,"523,1049",5,1,0,0
137,"571,9572",7,0,0,0
138,"669,5825",10,1,0,0
139,"610,6501",8,0,0,1
140,"584,4218",8,0,0,0
141,"641,4422",9,0,1,1
142,"683,2323",10,0,0,1
143,"594,3578",8,1,0,1
144,"581,5489",7,1,0,0
145,"544,8864",7,1,0,0
146,"429,2017",5,0,0,1
147,"501,4186",5,1,0,1
148,"538,3639",7,0,0,0
149,"501,9081",5,0,0,0
150,"723,163",11,0,0,1
151,"751,0079",5,0,0,0
152,"434,8641",9,0,0,0
153,"647,9312",10,0,0,0
154,"562,8654",9,0,0,0
155,"618,4619",6,0,0,0
156,"568,9237",10,0,0,0
157,"581,0228",6,0,0,0
158,"501,111",5,0,0,0
159,"628,6068",6,0,0,0
160,"720,6245",10,0,0,0
161,"582,7967",10,0,0,0
162,"622,0007",5,0,0,0
163,"695,0264",10,0,0,0
164,"531,147",10,0,0,0
165,"620,4304",10,0,0,0
166,"666,3752",5,0,0,0
167,"444,3559",10,0,0,0
168,"704,0705",5,0,0,0
169,"509,8828",10,0,0,0
170,"603,5929",6,0,0,0
171,"434,4332",5,0,0,0
172,"577,4075",9,0,0,0
173,"687,9323",8,0,0,0
174,"742,1785",9,0,0,0
175,"494,715",11,0,0,0
176,"627,4117",10,0,0,0
177,"548,347",8,0,0,0
178,"599,5947",6,0,0,0
179,"616,6035",10,0,0,0
180,"353,5334",6,0,0,0
181,"613,4477",6,0,0,0
182,"522,8397",10,0,0,0
183,"699,4879",7,0,0,0
184,"574,5483",10,0,0,0
185,"530,9797",5,0,0,0
186,"749,5828",5,0,0,0
187,"576,1989",7,0,0,0
188,"546,5146",6,0,0,0
189,"557,2957",5,0,0,0
190,"498,8432",5,0,0,0
191,"620,083",6,0,0,0
192,"770,1189",7,0,0,0
193,"615,4987",7,0,0,0
194,"432,9748",5,0,0,0
195,"618,6307",10,0,0,0
196,"566,5033",5,0,0,0
197,"619,1264",7,0,0,0
198,"431,3864",5,0,0,0
199,"611,1216",5,0,0,1
200,"576,5735",5,0,0,0
201,"845,5323",9,0,0,0
202,"561,6403",5,0,0,0
203,"675,1896",11,0,0,0
204,"447,3753",9,0,0,1
205,"588,1641",9,0,1,1
206,"756,5355",11,0,0,0
207,"704,8896",7,0,0,1
208,"623,0203",5,0,0,0
209,"542,0956",5,0,0,1
210,"588,3805",7,0,0,1
211,"731,0121",8,0,0,0
212,"562,7318",7,0,0,1
213,"483,6353",9,0,0,1
214,"628,1689",10,0,0,0
215,"615,1908",7,0,0,1
216,"653,4589",8,0,0,1
217,"398,5943",11,1,0,0
218,"485,0565",8,0,0,1
219,"473,0893",7,1,1,0
220,"563,9803",10,0,0,1
221,"551,675",9,1,0,1
222,"649,9718",5,1,0,1
223,"499,4888",5,0,0,0
224,"811,5982",7,0,0,1
225,"765,2416",11,0,0,0
226,"704,9479",11,0,0,1
227,"631,6486",7,0,1,0
228,"567,9924",10,0,0,0
229,"520,1455",6,1,0,0
230,"706,3237",9,0,0,1
231,"558,0239",10,1,0,0
232,"569,5623",8,1,0,0
233,"435,3824",5,0,0,0
234,"452,8967",5,0,0,0
235,"787,2662",5,0,0,0
236,"623,3598",6,1,0,1
237,"651,711",8,0,0,0
238,"526,4011",8,0,0,0
239,"535,6276",10,0,0,1
240,"641,6132",10,0,1,0
241,"446,5437",10,0,0,0
242,"530,4334",11,0,0,0
243,"644,7321",10,0,1,1
244,"594,5464",7,1,0,1
245,"531,99",9,0,1,0
246,"773,7985",9,0,0,0
247,"658,1979",9,0,0,0
248,"492,2396",5,0,0,1
249,"658,7349",10,1,0,0
250,"637,5402",5,0,0,1
251,"405,7097",10,0,0,1
252,"635,1362",5,0,0,1
253,"793,8574",6,1,0,0
254,"622,5794",5,0,0,0
255,"527,2859",6,1,0,0
256,"701,6353",5,0,1,1
257,"557,7019",5,1,0,1
258,"428,7309",5,0,0,0
259,"523,3905",7,0,0,1
260,"641,1741",8,0,0,0
261,"715,9871",5,0,0,0
262,"456,577",6,1,0,0
263,"707,7623",7,0,1,1
264,"647,891",5,0,0,0
265,"646,5111",5,0,0,0
266,"463,4218",8,1,0,0
267,"729,1713",5,0,0,1
268,"393,8966",8,0,0,1
269,"754,5868",5,1,0,1
270,"513,5034",5,0,0,0
271,"489,1998",5,0,0,1
272,"610,3571",5,0,1,1
273,"597,079",7,0,1,0
274,"629,197",10,0,0,0
275,"700,9971",5,0,0,0
276,"743,5594",6,1,0,0
277,"600,4326",5,0,0,1
278,"532,4303",6,0,0,1
279,"714,1528",6,1,0,0
280,"504,3427",5,0,0,0
281,"532,1026",6,0,0,0
282,"686,902",5,0,0,0
283,"575,3213",8,0,0,0
284,"751,925",5,0,0,1
285,"368,6943",5,0,0,1
286,"421,3972",10,1,1,0
287,"544,2765",5,0,0,1
288,"513,5896",5,0,1,0
289,"530,4714",5,0,0,0
290,"489,2599",5,0,0,0
291,"551,2358",6,0,0,0
292,"586,535",11,0,0,0
293,"588,2905",6,0,0,0
294,"519,8014",5,0,0,0
295,"619,3362",5,0,0,0
296,"464,6702",5,1,0,0
297,"571,4481",6,1,0,0
298,"489,3047",5,1,0,0
299,"453,9564",5,1,0,1
300,"411,6339",5,0,0,0
301,"613,8945",10,1,1,1
302,"441,606",5,1,0,1
303,"668,1937",8,0,0,0
304,"632,3753",5,0,1,1
305,"627,9149",5,0,0,0
306,"711,2757",10,0,0,1
307,"534,424",9,1,1,0
308,"364,523",6,1,0,0
309,"398,3287",5,0,1,0
310,"550,6905",5,0,0,1
311,"588,3603",9,1,0,1
312,"550,2669",5,1,0,1
313,"605,697",5,0,0,1
314,"624,8737",6,0,0,1
315,"543,2902",5,0,0,1
316,"532,5547",7,0,0,1
317,"675,6776",5,0,0,0
318,"610,8806",5,1,0,0
319,"579,1514",5,1,0,0
320,"760,1752",5,1,1,0
321,"617,8065",5,0,0,0
322,"319,8351",7,0,0,0
323,"481,5478",5,1,0,1
324,"552,565",11,0,0,1
325,"690,1987",10,0,0,0
326,"685,6475",8,0,0,1
327,"531,4821",6,1,0,0
328,"742,3501",5,1,0,1
329,"537,4907",5,1,0,0
330,"604,1085",8,0,0,0
331,"662,3436",5,0,0,1
332,"595,1431",5,1,0,0
333,"474,8577",5,0,1,0
334,"396,031",5,0,0,0
335,"487,1318",10,0,1,1
336,"504,8559",6,0,1,0
337,"550,015",7,1,0,0
338,"583,3225",5,0,0,1
339,"675,5672",5,1,1,1
340,"648,254",8,0,0,1
341,"666,9783",5,0,1,0
342,"698,8353",5,1,0,0
343,"791,6118",7,1,0,0
344,"547,3464",6,1,1,0
345,"626,6884",5,0,1,1
346,"573,4724",11,1,0,1
347,"595,5703",7,0,1,0
348,"482,2644",5,0,0,0
349,"634,7275",7,1,0,1
350,"425,4688",6,0,1,0
351,"395,115",10,0,0,1
352,"563,6609",5,0,0,1
353,"408,1817",6,1,0,0
354,"526,6385",5,0,0,1
355,"625,1182",6,1,0,0
356,"679,6284",5,0,1,1
357,"674,2236",5,1,0,1
358,"506,37",5,0,0,0
359,"392,2507",7,0,0,1
360,"493,9815",8,0,0,0
361,"639,2415",5,0,0,0
362,"435,6929",6,1,0,0
363,"403,8338",7,0,1,1
364,"538,0083",5,0,0,0
365,"650,1683",5,0,0,0
366,"576,5383",8,1,0,0
367,"450,6984",5,0,0,1
368,"655,2149",8,0,0,1
369,"751,5753",5,1,0,1
370,"373,0383",5,0,0,0
371,"514,8312",5,0,0,1
372,"473,6887",5,0,1,1
373,"512,0819",7,0,1,0
374,"493,6545",10,0,0,0
375,"686,0245",5,0,0,0
376,"511,2359",6,1,0,0
377,"585,3361",5,0,0,1
378,"697,2244",6,0,0,1
379,"533,9476",6,1,0,0
380,"443,343",5,0,0,0
381,"597,3692",6,0,0,0
382,"588,1013",5,0,0,0
383,"554,3784",8,0,0,0
384,"511,5136",5,0,0,1
385,"506,3851",5,0,0,1
386,"503,1048",10,1,1,0
387,"551,9572",5,0,0,1
388,"649,5825",5,0,1,0
389,"590,6501",5,0,0,0
390,"564,4218",5,0,0,0
391,"621,4422",6,0,0,0
392,"663,2323",11,0,0,0
393,"574,3578",6,0,0,0
394,"561,5489",5,0,0,0
395,"524,8864",5,0,0,0
396,"409,2017",5,1,0,0
397,"481,4186",6,1,0,0
398,"518,3639",5,1,0,0
399,"481,9081",5,1,0,1
400,"703,163",5,0,0,0
401,"731,0079",10,1,1,1
402,"414,8641",5,1,0,1
403,"627,9312",8,0,0,0
404,"542,8654",5,0,1,1
405,"598,4619",5,0,0,0
406,"548,9237",10,0,0,1
407,"561,0228",9,1,1,0
408,"481,111",6,1,0,0
409,"608,6068",5,0,1,0
410,"700,6245",5,0,0,1
411,"562,7967",9,1,0,1
412,"602,0007",5,1,0,1
413,"675,0264",5,0,0,1
414,"511,147",6,0,0,1
415,"600,4304",5,0,0,1
416,"646,3752",7,0,0,1
417,"424,3559",5,0,0,0
418,"684,0705",5,1,0,0
419,"489,8828",5,1,0,0
420,"583,5929",5,1,1,0
421,"414,4332",5,0,0,0
422,"557,4075",7,0,0,0
423,"667,9323",5,1,0,1
424,"722,1785",11,0,0,1
425,"474,715",10,0,0,0
426,"607,4117",8,0,0,1
427,"528,347",6,1,0,0
428,"579,5947",5,1,0,1
429,"596,6035",5,1,0,0
430,"333,5334",8,0,0,0
431,"593,4477",5,0,0,1
432,"502,8397",5,1,0,0
433,"679,4879",5,0,1,0
434,"554,5483",5,0,0,0
435,"510,9797",10,0,1,1
436,"729,5828",6,0,1,0
437,"556,1989",7,1,0,0
438,"526,5146",5,0,0,1
439,"537,2957",5,1,1,0
440,"478,8432",8,0,0,1
441,"600,083",5,0,1,0
442,"750,1189",5,1,0,0
443,"595,4987",7,1,0,0
444,"412,9748",6,1,1,0
445,"598,6307",5,0,1,1
446,"546,5033",11,1,0,1
447,"599,1264",7,0,1,0
448,"411,3864",5,0,0,0
449,"591,1216",7,1,0,1
450,"556,5735",6,0,1,0
451,"825,5323",10,0,0,1
452,"541,6403",5,0,0,1
453,"655,1896",6,1,0,0
454,"427,3753",5,0,0,0
455,"568,1641",6,1,0,0
456,"736,5355",5,0,1,1
457,"684,8896",5,1,0,1
458,"603,0203",5,0,0,0
459,"522,0956",7,0,0,1
460,"568,3805",8,0,0,0
461,"711,0121",5,0,0,0
462,"542,7318",6,1,0,0
463,"463,6353",7,0,1,1
464,"608,1689",5,0,0,0
465,"595,1908",5,0,0,0
466,"633,4589",8,1,0,0
467,"378,5943",5,0,0,1
468,"465,0565",8,0,0,1
469,"453,0893",5,1,0,1
470,"543,9803",5,0,0,0
471,"531,675",5,0,0,1
472,"629,9718",5,0,1,1
473,"479,4888",7,0,1,0
474,"791,5982",10,0,0,0
475,"745,2416",5,0,0,0
476,"684,9479",6,1,0,0
477,"611,6486",5,0,0,1
478,"547,9924",6,0,0,1
479,"500,1455",6,1,0,0
480,"686,3237",5,0,0,0
481,"538,0239",6,0,0,0
482,"549,5623",5,0,0,0
483,"415,3824",8,0,0,0
484,"432,8967",5,0,0,1
485,"767,2662",5,0,0,1
486,"603,3598",10,1,1,0
487,"631,711",5,0,0,1
488,"506,4012",5,0,1,0
489,"515,6276",5,0,0,0
490,"621,6132",5,0,0,1
491,"426,5437",6,0,0,0
492,"510,4334",11,0,0,0
493,"624,7321",6,0,0,1
494,"574,5464",5,0,0,0
495,"511,99",5,0,0,0
496,"753,7985",5,1,0,0
497,"638,1979",6,1,0,1
498,"472,2396",5,1,0,0
499,"638,7349",5,1,0,1
500,"617,5402",5,0,0,0
