id del estudiante,Puntaje en matemáticas 2013,Puntaje en matemáticas 2012,edad,género,Educación de la madre,Hogar pobre,Ingreso,Ventana
90,"691,3","661,3",8,1,1,1,"26,9",1
91,"705,4","675,4",8,0,0,1,"27,4",1
92,"726,5","696,5",8,0,0,1,"28,1",1
93,"825,4","795,4",9,1,0,1,30,1
94,"607,5","577,5",7,0,0,1,"24,3",1
95,"677,2","647,2",8,0,0,1,"26,5",1
96,"666,3","636,3",8,1,0,1,"26,1",1
97,"658,4","628,4",8,1,0,1,"25,9",1
98,"534,7","504,7",7,0,1,1,22,1
99,694,664,8,0,0,1,27,1
100,"475,1","445,1",6,0,0,1,"20,1",1
101,447,"411,5",6,0,0,1,"9,7",0
102,"669,4","634,5",8,0,1,1,"16,7",0
103,"832,4","797,9",12,1,0,1,20,0
104,"658,5","623,6",8,1,0,1,"16,4",0
105,"559,7","524,6",6,0,0,1,"13,3",0
106,"749,9","715,3",11,0,1,1,"19,3",0
107,"585,3","550,2",6,0,1,1,"14,1",0
108,"457,4",422,6,1,1,1,10,0
109,"579,2","544,1",6,0,1,1,"13,9",0
110,"701,8",667,9,1,0,1,"17,7",0
111,"782,2","747,6",12,0,0,1,20,0
112,"494,1","458,8",6,1,1,1,"11,2",0
113,"748,2","713,6",11,0,0,1,"19,2",0
114,"693,4","658,6",9,1,0,1,"17,5",0
115,"703,2","668,4",9,0,1,1,"17,8",0
116,"522,9","487,6",6,0,0,1,"12,1",0
117,"769,2","734,5",11,0,1,1,"19,9",0
118,"435,1","399,6",6,0,0,1,"9,3",0
119,"801,6","767,1",12,0,0,1,20,0
120,"573,1",538,6,0,0,1,"13,7",0
121,"540,5","505,3",6,0,0,1,"12,6",0
122,"677,3","642,5",8,0,1,1,17,0
123,"621,8","586,9",7,0,0,1,"15,2",0
124,"674,9",640,8,1,0,1,"16,9",0
125,"740,6","705,9",10,0,0,1,19,0
126,"781,2","746,7",12,1,1,1,20,0
127,"645,3","610,3",7,0,0,1,16,0
128,"569,3","534,2",6,1,0,1,"13,6",0
129,"760,1","725,5",11,0,1,1,"19,6",0
130,"560,8","525,6",6,0,0,1,"13,3",0
131,"580,3","545,2",6,0,0,1,"13,9",0
132,"752,3","717,7",11,0,1,1,"19,3",0
133,616,581,7,1,0,1,15,0
134,"809,2","774,7",12,0,0,1,20,0
135,"432,4","396,9",6,0,1,1,"9,2",0
136,"461,9","426,5",6,0,0,1,"10,2",0
137,599,564,6,1,0,1,"14,5",0
138,"559,9","524,8",6,1,1,1,"13,3",0
139,"537,2",502,6,0,0,1,"12,5",0
140,"550,8","515,7",6,0,0,1,13,0
141,"581,3","546,2",6,1,0,1,"13,9",0
142,"608,7","573,7",6,0,0,1,"14,8",0
143,"613,3","578,2",6,0,0,1,"14,9",0
144,"543,7","508,5",6,0,1,1,"12,7",0
145,"695,9","661,1",9,0,0,1,"17,6",0
146,"517,2",482,6,1,0,1,"11,9",0
147,"600,7","565,7",6,0,0,1,"14,5",0
148,"541,5","506,3",6,0,1,1,"12,7",0
149,490,"454,7",6,1,0,1,11,0
150,"473,7","438,4",6,0,0,1,"10,5",0
151,"650,7","615,8",8,1,0,1,"16,1",0
152,"493,3",458,6,0,0,1,"11,2",0
153,735,"700,3",10,0,1,1,"18,8",0
154,"676,8",642,8,0,1,1,17,0
155,"675,3","640,4",8,1,1,1,"16,9",0
156,"740,4","705,7",10,1,0,1,19,0
157,"593,8","558,7",6,1,0,1,"14,3",0
158,"447,3","411,9",6,1,1,1,"9,7",0
159,"461,5","426,1",6,0,1,1,"10,1",0
160,"613,7","578,7",6,0,0,1,15,0
161,"635,8","600,8",7,0,1,1,"15,7",0
162,"595,3","560,3",6,0,0,1,"14,4",0
163,663,"628,1",8,0,0,1,"16,5",0
164,"688,4","653,6",9,1,1,1,"17,3",0
165,"607,9","572,9",6,0,0,1,"14,8",0
166,"618,8","583,8",7,0,0,1,"15,1",0
167,"731,5","696,8",10,0,0,1,"18,7",0
168,639,604,7,1,0,1,"15,8",0
169,"610,8","575,8",6,0,0,1,"14,9",0
170,"813,4","778,9",12,0,0,1,20,0
171,"660,5","625,6",8,0,0,1,"16,4",0
172,"383,2","347,6",6,0,0,1,"7,7",0
173,"533,4","498,2",6,0,0,1,"12,4",0
174,613,578,6,0,0,1,"14,9",0
175,"723,4","688,7",10,1,0,1,"18,4",0
176,"719,3","684,5",10,1,0,1,"18,3",0
177,"597,8","562,7",6,1,0,1,"14,5",0
178,"803,4","768,9",12,0,0,1,20,0
179,"575,4","540,3",6,0,0,1,"13,7",0
180,"650,5","615,6",8,1,1,1,"16,1",0
181,"702,1","667,3",9,0,0,1,"17,8",0
182,"630,7","595,7",7,1,0,1,"15,5",0
183,"545,4","510,2",6,1,0,1,"12,8",0
184,"442,9","407,5",6,0,0,1,"9,6",0
185,"541,3","506,2",6,0,0,1,"12,7",0
186,560,"524,9",6,0,1,1,"13,3",0
187,"621,3","586,3",7,0,0,1,"15,2",0
188,"625,5","590,5",7,0,0,1,"15,3",0
189,"702,7","667,9",9,0,1,1,"17,8",0
190,"687,1","652,3",9,0,0,1,"17,3",0
191,"701,6","666,8",9,1,1,1,"17,7",0
192,"723,2","688,5",10,1,0,1,"18,4",0
193,"824,5",790,12,0,0,1,20,0
194,"601,2","566,2",6,0,0,1,"14,6",0
195,"672,6","637,8",8,1,0,1,"16,8",0
196,"661,5","626,6",8,0,1,1,"16,5",0
197,"653,4","618,5",8,0,0,1,"16,2",0
198,"526,6","491,4",6,1,0,1,"12,2",0
199,"689,9","655,1",9,0,0,1,"17,4",0
200,"465,6","430,3",6,1,0,1,"10,3",0
201,"423,1","387,6",6,0,0,1,"8,9",0
202,"615,1","580,1",7,0,0,1,15,0
203,"451,4",416,6,0,0,1,"9,8",0
204,"581,1",546,6,0,0,1,"13,9",0
205,"674,3","639,5",8,0,0,1,"16,9",0
206,"727,4","692,7",10,1,0,1,"18,6",0
207,"702,9","668,1",9,0,1,1,"17,8",0
208,"533,2",498,6,0,0,1,"12,4",0
209,"461,3",426,6,0,1,1,"10,1",0
210,"533,6","498,4",6,0,0,1,"12,4",0
211,"685,6","650,7",9,1,0,1,"17,2",0
212,"475,9","440,6",6,0,0,1,"10,6",0
213,"437,8","402,4",6,1,0,1,"9,4",0
214,"614,6","579,6",6,0,1,1,15,0
215,720,"685,3",10,1,0,1,"18,3",0
216,"647,4","612,5",8,1,0,1,16,0
217,"499,8","464,5",6,0,0,1,"11,4",0
218,"702,8",668,9,1,1,1,"17,8",0
219,"820,4","785,9",12,1,1,1,20,0
220,423,"387,5",6,0,0,1,"8,9",0
221,568,"532,9",6,1,0,1,"13,5",0
222,"516,8","481,6",6,0,0,1,"11,9",0
223,"561,4","526,2",6,0,0,1,"13,3",0
224,"544,6","509,4",6,1,1,1,"12,8",0
225,"721,9","687,1",10,0,1,1,"18,4",0
226,"572,5","537,4",6,0,0,1,"13,7",0
227,"619,1","584,1",7,1,1,1,"15,1",0
228,"735,3","700,6",10,0,0,1,"18,8",0
229,"579,7","544,6",6,0,1,1,"13,9",0
230,"517,2","481,9",6,1,0,1,"11,9",0
231,637,"602,1",7,1,0,1,"15,7",0
232,"641,3","606,4",7,1,1,1,"15,8",0
233,"599,1","564,1",6,0,1,1,"14,5",0
234,"540,9","505,7",6,0,1,1,"12,7",0
235,"582,3","547,2",6,1,0,1,14,0
236,"544,8","509,7",6,0,0,1,"12,8",0
237,"586,5","551,5",6,0,0,1,"14,1",0
238,"703,5","668,7",9,1,0,1,"17,8",0
239,"639,8","604,9",7,0,0,1,"15,8",0
240,"630,2","595,2",7,1,1,1,"15,5",0
241,"665,3","630,4",8,1,1,1,"16,6",0
242,"698,9","664,2",9,0,1,1,"17,7",0
243,"636,2","601,3",7,1,0,1,"15,7",0
244,"601,8","566,7",6,1,1,1,"14,6",0
245,"608,1","573,1",6,0,0,1,"14,8",0
246,"447,9","412,5",6,1,1,1,"9,7",0
247,"536,2",501,6,1,0,1,"12,5",0
248,"586,7","551,7",6,0,0,1,"14,1",0
249,527,"491,7",6,0,0,1,"12,2",0
250,"737,9","703,2",10,0,1,1,"18,9",0
